index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold
789,28-03-1905,"Sherlock Holmes: The Complete Novels and Stories, Vol 2","Arthur Conan Doyle, Kyle Freeman",,Famous,4.46,66857,nonfiction,1263.85,758.31,10.99,914,Random House LLC,2916
790,19-06-1905,"One Piece, Volume 01","EiichirÅ Oda, Andy Nakatani",eng,Famous,4.42,67047,genre fiction,458.85,0,3.99,915,"Amazon Digital Services,  Inc.",2916
791,21-05-1905,The Last Unicorn,Peter S. Beagle,eng,Excellent,4.18,76277,genre fiction,343.85,0,2.99,916,"Amazon Digital Services,  Inc.",2916
792,27-06-1905,Magyk,Angie Sage,eng,Intermediate,3.8,86805,genre fiction,343.85,206.31,2.99,917,"Amazon Digital Services,  Inc.",2916
793,22-06-1905,Fever 1793,Laurie Halse Anderson,en-US,Intermediate,3.89,81945,genre fiction,458.85,0,3.99,918,"Amazon Digital Services,  Inc.",2916
794,30-06-1905,The Likeness,Tana French,eng,Excellent,4.05,72480,genre fiction,803.85,482.31,6.99,920,Penguin Group (USA) LLC,2916
795,07-07-1905,Dead Wake: The Last Crossing of the Lusitania,Erik Larson,eng,Excellent,4.07,61439,genre fiction,930.35,558.21,8.09,921,Penguin Group (USA) LLC,2916
796,08-03-1905,The Jungle Book,Rudyard Kipling,eng,Intermediate,3.94,67107,fiction,113.85,68.31,0.99,922,"Amazon Digital Services,  Inc.",2916
797,05-07-1905,I Am Pilgrim,Terry Hayes,eng,Excellent,4.23,49740,genre fiction,573.85,344.31,4.99,924,"Amazon Digital Services,  Inc.",2916
798,09-05-1905,Howl and Other Poems ,"Allen Ginsberg, William Carlos Williams",eng,Excellent,4.14,71968,nonfiction,1269.6,761.76,11.04,926,HarperCollins Publishers,2916
799,19-06-1905,Don't Sweat the Small Stuff,Richard Carlson,eng,Intermediate,3.95,63324,genre fiction,884.35,530.61,7.69,927,Random House LLC,2916
800,03-07-1905,Go the Fuck to Sleep,"Adam Mansbach, Ricardo CortÃ©s",eng,Excellent,4.26,71816,genre fiction,113.85,68.31,0.99,930,"Amazon Digital Services,  Inc.",2916
801,14-06-1905,Mostly Harmless,Douglas Adams,en-US,Intermediate,3.96,72426,nonfiction,573.85,344.31,4.99,931,Simon and Schuster Digital Sales Inc,2916
802,25-06-1905,Benjamin Franklin: An American Life,Walter Isaacson,eng,Intermediate,3.96,70335,genre fiction,573.85,344.31,4.99,933,Macmillan,2916
803,03-07-1905,The Tiger's Wife,TÃ©a Obreht,eng,Novice,3.37,66104,genre fiction,113.85,0,0.99,936,"Amazon Digital Services,  Inc.",2916
804,27-06-1905,Poison Study,Maria V. Snyder,eng,Excellent,4.16,96417,genre fiction,343.85,0,2.99,937,"Amazon Digital Services,  Inc.",2916
805,29-06-1905,Lover Unbound,J.R. Ward,eng,Excellent,4.33,97514,fiction,910.86,546.516,7.99,938,"Amazon Digital Services,  Inc.",2916
806,26-06-1905,Going Postal,Terry Pratchett,eng,Excellent,4.36,75186,fiction,1366.86,820.116,11.99,939,Penguin Group (USA) LLC,2916
807,03-01-1905,The Book of Mormon,"Anonymous, Joseph Smith Jr.",eng,Excellent,4.37,63530,genre fiction,1366.86,820.116,11.99,941,Random House LLC,2916
808,02-06-1905,The Mist,Stephen King,en-US,Intermediate,3.92,82062,nonfiction,340.86,204.516,2.99,943,"Amazon Digital Services,  Inc.",2916
809,27-06-1905,Dead Beat,Jim Butcher,eng,Famous,4.43,78123,genre fiction,568.86,0,4.99,944,"Amazon Digital Services,  Inc.",2916
810,07-07-1905,Golden Son,Pierce Brown,eng,Famous,4.46,57614,genre fiction,112.86,0,0.99,946,"Amazon Digital Services,  Inc.",2916
811,24-06-1905,Night Watch,Terry Pratchett,eng,Famous,4.47,71271,nonfiction,910.86,546.516,7.99,947,"Amazon Digital Services,  Inc.",2916
812,08-06-1905,The Light Fantastic,Terry Pratchett,en-US,Intermediate,3.94,75196,nonfiction,112.86,67.716,0.99,949,"Amazon Digital Services,  Inc.",2916
813,01-07-1905,What the Dog Saw and Other Adventures,Malcolm Gladwell,eng,Intermediate,3.82,65277,genre fiction,876.66,525.996,7.69,950,Random House LLC,2916
